N1C1W1_A.BPP: OK (Solução = 25, Bins usados = 25)
N1C1W1_B.BPP: OK (Solução = 31, Bins usados = 31)
N1C1W1_C.BPP: OK (Solução = 20, Bins usados = 20)
N1C1W1_D.BPP: OK (Solução = 28, Bins usados = 28)
N1C1W1_E.BPP: OK (Solução = 26, Bins usados = 26)
N1C1W1_F.BPP: OK (Solução = 27, Bins usados = 27)
N1C1W1_G.BPP: OK (Solução = 25, Bins usados = 25)
N1C1W1_H.BPP: OK (Solução = 31, Bins usados = 31)
N1C1W1_I.BPP: OK (Solução = 25, Bins usados = 25)
N1C1W1_J.BPP: OK (Solução = 26, Bins usados = 26)
N1C1W1_K.BPP: OK (Solução = 26, Bins usados = 26)
N1C1W1_L.BPP: OK (Solução = 33, Bins usados = 33)
N1C1W1_M.BPP: OK (Solução = 30, Bins usados = 30)
N1C1W1_N.BPP: OK (Solução = 25, Bins usados = 25)
N1C1W1_O.BPP: OK (Solução = 32, Bins usados = 32)
N1C1W1_P.BPP: OK (Solução = 26, Bins usados = 26)
N1C1W1_Q.BPP: OK (Solução = 28, Bins usados = 28)
N1C1W1_R.BPP: OK (Solução = 25, Bins usados = 25)
N1C1W1_S.BPP: OK (Solução = 28, Bins usados = 28)
N1C1W1_T.BPP: OK (Solução = 28, Bins usados = 28)
N1C1W2_A.BPP: OK (Solução = 29, Bins usados = 29)
N1C1W2_B.BPP: OK (Solução = 30, Bins usados = 30)
N1C1W2_C.BPP: OK (Solução = 33, Bins usados = 33)
N1C1W2_D.BPP: OK (Solução = 31, Bins usados = 31)
N1C1W2_E.BPP: OK (Solução = 36, Bins usados = 36)
N1C1W2_F.BPP: OK (Solução = 30, Bins usados = 30)
N1C1W2_G.BPP: OK (Solução = 30, Bins usados = 30)
N1C1W2_H.BPP: OK (Solução = 33, Bins usados = 33)
N1C1W2_I.BPP: OK (Solução = 35, Bins usados = 35)
N1C1W2_J.BPP: OK (Solução = 34, Bins usados = 34)
N1C1W2_K.BPP: OK (Solução = 35, Bins usados = 35)
N1C1W2_L.BPP: OK (Solução = 31, Bins usados = 31)
N1C1W2_M.BPP: OK (Solução = 30, Bins usados = 30)
N1C1W2_N.BPP: OK (Solução = 33, Bins usados = 33)
N1C1W2_O.BPP: OK (Solução = 29, Bins usados = 29)
N1C1W2_P.BPP: OK (Solução = 33, Bins usados = 33)
N1C1W2_Q.BPP: OK (Solução = 36, Bins usados = 36)
N1C1W2_R.BPP: OK (Solução = 34, Bins usados = 34)
N1C1W2_S.BPP: OK (Solução = 37, Bins usados = 37)
N1C1W2_T.BPP: OK (Solução = 38, Bins usados = 38)
N1C1W4_A.BPP: OK (Solução = 35, Bins usados = 35)
N1C1W4_B.BPP: OK (Solução = 40, Bins usados = 40)
N1C1W4_C.BPP: OK (Solução = 36, Bins usados = 36)
N1C1W4_D.BPP: OK (Solução = 38, Bins usados = 38)
N1C1W4_E.BPP: OK (Solução = 38, Bins usados = 38)
N1C1W4_F.BPP: OK (Solução = 32, Bins usados = 32)
N1C1W4_G.BPP: OK (Solução = 37, Bins usados = 37)
N1C1W4_H.BPP: OK (Solução = 40, Bins usados = 40)
N1C1W4_I.BPP: OK (Solução = 35, Bins usados = 35)
N1C1W4_J.BPP: OK (Solução = 37, Bins usados = 37)
N1C1W4_K.BPP: OK (Solução = 41, Bins usados = 41)
N1C1W4_L.BPP: OK (Solução = 35, Bins usados = 35)
N1C1W4_M.BPP: OK (Solução = 41, Bins usados = 41)
N1C1W4_N.BPP: OK (Solução = 39, Bins usados = 39)
N1C1W4_O.BPP: OK (Solução = 34, Bins usados = 34)
N1C1W4_P.BPP: OK (Solução = 38, Bins usados = 38)
N1C1W4_Q.BPP: OK (Solução = 34, Bins usados = 34)
N1C1W4_R.BPP: OK (Solução = 38, Bins usados = 38)
N1C1W4_S.BPP: OK (Solução = 36, Bins usados = 36)
N1C1W4_T.BPP: OK (Solução = 42, Bins usados = 42)
N1C2W1_A.BPP: OK (Solução = 21, Bins usados = 21)
N1C2W1_B.BPP: OK (Solução = 26, Bins usados = 26)
N1C2W1_C.BPP: OK (Solução = 23, Bins usados = 23)
N1C2W1_D.BPP: OK (Solução = 21, Bins usados = 21)
N1C2W1_E.BPP: OK (Solução = 17, Bins usados = 17)
N1C2W1_F.BPP: OK (Solução = 22, Bins usados = 22)
N1C2W1_G.BPP: OK (Solução = 21, Bins usados = 21)
N1C2W1_H.BPP: OK (Solução = 23, Bins usados = 23)
N1C2W1_I.BPP: OK (Solução = 27, Bins usados = 27)
N1C2W1_J.BPP: OK (Solução = 27, Bins usados = 27)
N1C2W1_K.BPP: OK (Solução = 24, Bins usados = 24)
N1C2W1_L.BPP: OK (Solução = 25, Bins usados = 25)
N1C2W1_M.BPP: OK (Solução = 26, Bins usados = 26)
N1C2W1_N.BPP: OK (Solução = 21, Bins usados = 21)
N1C2W1_O.BPP: OK (Solução = 15, Bins usados = 15)
N1C2W1_P.BPP: OK (Solução = 21, Bins usados = 21)
N1C2W1_Q.BPP: OK (Solução = 24, Bins usados = 24)
N1C2W1_R.BPP: OK (Solução = 23, Bins usados = 23)
N1C2W1_S.BPP: OK (Solução = 22, Bins usados = 22)
N1C2W1_T.BPP: OK (Solução = 22, Bins usados = 22)
N1C2W2_A.BPP: OK (Solução = 24, Bins usados = 24)
N1C2W2_B.BPP: OK (Solução = 27, Bins usados = 27)
N1C2W2_C.BPP: OK (Solução = 29, Bins usados = 29)
N1C2W2_D.BPP: OK (Solução = 24, Bins usados = 24)
N1C2W2_E.BPP: OK (Solução = 33, Bins usados = 33)
N1C2W2_F.BPP: OK (Solução = 26, Bins usados = 26)
N1C2W2_G.BPP: OK (Solução = 29, Bins usados = 29)
N1C2W2_H.BPP: OK (Solução = 23, Bins usados = 23)
N1C2W2_I.BPP: OK (Solução = 25, Bins usados = 25)
N1C2W2_J.BPP: OK (Solução = 25, Bins usados = 25)
N1C2W2_K.BPP: OK (Solução = 29, Bins usados = 29)
N1C2W2_L.BPP: OK (Solução = 30, Bins usados = 30)
N1C2W2_M.BPP: OK (Solução = 30, Bins usados = 30)
N1C2W2_N.BPP: OK (Solução = 26, Bins usados = 26)
N1C2W2_O.BPP: OK (Solução = 29, Bins usados = 29)
N1C2W2_P.BPP: OK (Solução = 23, Bins usados = 23)
N1C2W2_Q.BPP: OK (Solução = 30, Bins usados = 30)
N1C2W2_R.BPP: OK (Solução = 25, Bins usados = 25)
N1C2W2_S.BPP: OK (Solução = 24, Bins usados = 24)
N1C2W2_T.BPP: OK (Solução = 26, Bins usados = 26)
N1C2W4_A.BPP: OK (Solução = 29, Bins usados = 29)
N1C2W4_B.BPP: OK (Solução = 32, Bins usados = 32)
N1C2W4_C.BPP: OK (Solução = 30, Bins usados = 30)
N1C2W4_D.BPP: OK (Solução = 28, Bins usados = 28)
N1C2W4_E.BPP: OK (Solução = 30, Bins usados = 30)
N1C2W4_F.BPP: OK (Solução = 32, Bins usados = 32)
N1C2W4_G.BPP: OK (Solução = 30, Bins usados = 30)
N1C2W4_H.BPP: OK (Solução = 30, Bins usados = 30)
N1C2W4_I.BPP: OK (Solução = 35, Bins usados = 35)
N1C2W4_J.BPP: OK (Solução = 30, Bins usados = 30)
N1C2W4_K.BPP: OK (Solução = 32, Bins usados = 32)
N1C2W4_L.BPP: OK (Solução = 31, Bins usados = 31)
N1C2W4_M.BPP: OK (Solução = 31, Bins usados = 31)
N1C2W4_N.BPP: OK (Solução = 32, Bins usados = 32)
N1C2W4_O.BPP: OK (Solução = 30, Bins usados = 30)
N1C2W4_P.BPP: OK (Solução = 28, Bins usados = 28)
N1C2W4_Q.BPP: OK (Solução = 33, Bins usados = 33)
N1C2W4_R.BPP: OK (Solução = 35, Bins usados = 35)
N1C2W4_S.BPP: OK (Solução = 38, Bins usados = 38)
N1C2W4_T.BPP: OK (Solução = 29, Bins usados = 29)
N1C3W1_A.BPP: OK (Solução = 16, Bins usados = 16)
N1C3W1_B.BPP: OK (Solução = 16, Bins usados = 16)
N1C3W1_C.BPP: OK (Solução = 17, Bins usados = 17)
N1C3W1_D.BPP: OK (Solução = 19, Bins usados = 19)
N1C3W1_E.BPP: OK (Solução = 16, Bins usados = 16)
N1C3W1_F.BPP: OK (Solução = 20, Bins usados = 20)
N1C3W1_G.BPP: OK (Solução = 15, Bins usados = 15)
N1C3W1_H.BPP: OK (Solução = 19, Bins usados = 19)
N1C3W1_I.BPP: OK (Solução = 17, Bins usados = 17)
N1C3W1_J.BPP: OK (Solução = 16, Bins usados = 16)
N1C3W1_K.BPP: OK (Solução = 17, Bins usados = 17)
N1C3W1_L.BPP: OK (Solução = 17, Bins usados = 17)
N1C3W1_M.BPP: OK (Solução = 17, Bins usados = 17)
